Player,Position,Price,form
Al Horford,C,8.5,25.9
Jonathan Kuminga,PF,8.5,25.675
Donte DiVincenzo,SG,8.5,25.425
Kris Dunn,PG,8.5,21.5
Jaden McDaniels,PF,8.5,20.2
Rui Hachimura,PF,8.5,18.5
Herbert Jones,SF,8.5,17.55
Taylor Hendricks,PF,8.5,13.525
Kenyon Martin Jr.,SF,8.5,
Kentavious Caldwell-Pope,SG,8.4,19.075
Harrison Barnes,SF,8.4,18
Jalen Johnson,PF,8.3,40.5
Max Strus,SG,8.3,27.075
Santi Aldama,PF,8.3,17.275
Kevin Love,PF,8,27.925
Talen Horton-Tucker,SF,8,26.325
Alex Caruso,SG,8,23.675
T.J. McConnell,PG,8,22.625
Patrick Williams,PF,8,22.2
Dennis Smith Jr.,PG,8,22.025
Keyonte George,SG,8,19.8
Malik Beasley,SG,8,18.525
Cam Whitmore,SF,8,18.325
Andrew Nembhard,PG,8,18.3
Moritz Wagner,PF,8,18.225
Corey Kispert,SF,8,17.45
Terance Mann,PG,8,15.55
Anthony Black,SG,8,15.4
Jonathan Isaac,PF,8,15.2
Killian Hayes,PG,8,13.825
Quentin Grimes,SG,8,13.475
Drew Eubanks,C,8,11.75
Seth Curry,SG,8,10.875
Cameron Payne,PG,8,10.625
Vasilije Micic,PG,8,10.575
Mason Plumlee,C,8,10.5
Jarred Vanderbilt,PF,8,10.4
Sasha Vezenkov,PF,8,9.3
Gabe Vincent,PG,8,9.25
Jalen McDaniels,PF,8,7.3
Shake Milton,PG,8,5.525
Monte Morris,PG,8,
Isaiah Hartenstein,C,7.8,30.875
Duncan Robinson,SG,7.8,25.725
Doug McDermott,SF,7.7,7.675
Grayson Allen,SG,7.5,30.425
Andre Drummond,C,7.5,29.75
Larry Nance Jr.,PF,7.5,24.7
Taurean Prince,SF,7.5,23.325
Simone Fontecchio,SF,7.5,22.825
Goga Bitadze,C,7.5,22.45
Ayo Dosunmu,PG,7.5,22.05
Jalen Smith,PF,7.5,19.9
Josh Richardson,SG,7.5,19.8
Bilal Coulibaly,SG,7.5,19.575
Reggie Jackson,PG,7.5,19.1
Isaiah Jackson,PF,7.5,18.45
Dorian Finney-Smith,SF,7.5,18.4
Paul Reed,PF,7.5,17.825
Royce O'Neale,SF,7.5,17.575
Trey Lyles,PF,7.5,17
Alec Burks,SG,7.5,16.625
Luke Kennard,SG,7.5,16.45
Naji Marshall,SF,7.5,15.725
Jose Alvarado,PG,7.5,15.3
Marcus Morris Sr.,PF,7.5,15.025
Torrey Craig,SF,7.5,15
Georges Niang,SF,7.5,14.9
Christian Braun,SG,7.5,14.875
Cedi Osman,SF,7.5,14.225
Nickeil Alexander-Walker,SG,7.5,14.025
Dwight Powell,C,7.5,13.95
Precious Achiuwa,PF,7.5,13.925
Pat Connaughton,SG,7.5,13.9
Kevin Knox II,SG,7.5,13.225
Ochai Agbaji,SG,7.5,12.775
Xavier Tillman Sr.,C,7.5,12.725
Chris Boucher,PF,7.5,12.65
Dyson Daniels,PG,7.5,12.55
Jae'Sean Tate,SF,7.5,12.125
Daniel Theis,C,7.5,12.075
Mike Muscala,C,7.5,11.925
Gary Harris,SG,7.5,11.825
Josh Okogie,SF,7.5,11.825
Kenrich Williams,PF,7.5,11.675
Mo Bamba,C,7.5,11.625
Nassir Little,SF,7.5,11.175
Richaun Holmes,C,7.5,11.05
Jeremiah Robinson-Earl,C,7.5,10.3
Bol Bol,C,7.5,10.125
Jaylin Williams,C,7.5,9.8
Landry Shamet,SG,7.5,9.6
Thomas Bryant,C,7.5,9.175
Devonte' Graham,PG,7.5,9.1
Zeke Nnaji,PF,7.5,8.875
Chris Duarte,SF,7.5,8.625
